"","LU1","LU2","variable","family","p_value","R2m","R2c","AIC","Transition","Effect"
"1",3.20127174324494,-0.0171159853885347,"ant_rich","Negative Binomial",0.822930252368435,0.000531931252481717,0.0489551663222177,616.054406050883,"UF_LF","no_effect"
"2",3.93819555187579,-0.0228209439643669,"bird_rich","Negative Binomial",0.690545843051276,0.00185294531551078,0.0114433322968413,693.098064319439,"UF_LF","no_effect"
"3",3.17633619392733,-0.183934968293787,"db_rich","Negative Binomial",0.033112444554299,0.0421171816272173,0.153338648317639,612.96824616388,"UF_LF","decrease"
"4",2.61383843798783,-0.000686088682379984,"liana_rich","Negative Binomial",0.994526361374616,4.79559513361932e-07,0.0565995381763618,562.005200742862,"UF_LF","no_effect"
"5",4.06063851463507,0.0985085007052528,"sap_rich","Negative Binomial",0.0591440891749927,0.0403980489168249,0.0675947196385485,712.114967450919,"UF_LF","no_effect"
"6",4.16688230207647,-0.0317053871777156,"tree_rich","Negative Binomial",0.400929632420904,0.00714182708946399,0.120074910513892,666.216592851332,"UF_LF","no_effect"
"7",3.20279957323887,0.0663862524985752,"ant_rich","Negative Binomial",0.279598362425528,0.0129394137197581,0.091320692140269,568.162740531126,"UF_LBF","no_effect"
"8",3.93648331837907,-0.0837204745462329,"bird_rich","Negative Binomial",0.0920704831864901,0.0315512811218652,0.0315512811218652,638.141636302208,"UF_LBF","no_effect"
"9",3.17230930896802,-0.266602540257278,"db_rich","Negative Binomial",0.00194229485125908,0.0864600669757039,0.227527696329397,578.917353285491,"UF_LBF","decrease"
"10",2.6079667518566,-0.208673867117843,"liana_rich","Negative Binomial",0.126069751085577,0.02244954247743,0.02244954247743,561.034139988771,"UF_LBF","no_effect"
"11",4.05566829231153,-0.0709497938617759,"sap_rich","Negative Binomial",0.346242362839489,0.0101859785584043,0.01626507055121,728.721368866276,"UF_LBF","no_effect"
"12",4.17101823567276,-0.284515978844103,"tree_rich","Negative Binomial",0.000380254100708084,0.129215500054996,0.141059020005565,734.703859049503,"UF_LBF","decrease"
"13",3.1956217745834,-0.213158808030326,"ant_rich","Negative Binomial",0.00854470527913683,0.0662724094488907,0.0841558340362672,623.086498924864,"UF_PA","decrease"
"14",3.9364832382146,-0.605767987178705,"bird_rich","Negative Binomial",1.28922474662086e-12,0.388308118271263,0.388308118271263,701.949241788301,"UF_PA","decrease"
"15",3.17313029739979,-1.09987703661353,"db_rich","Negative Binomial",1.17966044610025e-20,0.582447324238257,0.637844448056976,534.339189468823,"UF_PA","decrease"
"16",2.60822954686231,-5.78985471205999,"liana_rich","Negative Binomial",3.47648997798299e-178,0.909277346661177,0.909462696030703,169.275781943757,"UF_PA","decrease"
"17",4.05755300634706,-4.10140511093522,"sap_rich","Negative Binomial",2.74699529049942e-28,0.964504490672697,0.964572686113341,398.647748329669,"UF_PA","decrease"
"18",4.17438727679979,-5.81199606085425,"tree_rich","Poisson",0,0.989501010682278,0.989501010682278,230.130093915223,"UF_PA","decrease"
"19",3.19770084500552,-0.586500486234699,"ant_rich","Negative Binomial",8.18255264766288e-05,0.268039243363692,0.268039243363692,337.424908829781,"UF_MA","decrease"
"20",3.93648331843743,-1.50760452988206,"bird_rich","Negative Binomial",5.22380382007731e-20,0.872954067797074,0.872954067797074,330.908799969728,"UF_MA","decrease"
"21",3.17832963676932,-1.19626537257488,"db_rich","Poisson",5.24124171774444e-52,0.810532009279364,0.844293564352894,272.160097441236,"UF_MA","decrease"
"22",2.61415267957561,-19.1486948278784,"liana_rich","Poisson",3.54683926349388e-101,0.998010118310498,0.998125755511347,156.539569466897,"UF_MA","decrease"
"23",4.05715352282196,-20.8986731755826,"sap_rich","Poisson",0,0.999644603095378,0.999644603095378,175.883391840391,"UF_MA","decrease"
"24",4.17440617847226,-20.0522997852897,"tree_rich","Poisson",0,0.999658083649951,0.999658083668674,153.504468325388,"UF_MA","decrease"
"25",3.18924595311467,0.0868458566623347,"ant_rich","Negative Binomial",0.0678327408666708,0.0231784720509498,0.0541098513168651,902.8318195614,"LF_LBF","no_effect"
"26",3.91449049534942,-0.0663887610800019,"bird_rich","Negative Binomial",0.0876105462253017,0.0211112614148917,0.0317322498161577,1019.90029807751,"LF_LBF","no_effect"
